descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Caixa de medição trifásca em policarbonato com lente, fixação em poste, padrão CELESC.",4021851,22,70,ATIVO,UNIDADE,16573.9,236.77
"Conector cunha de alumínio ampactinho tipo III (VERMELHO)",4021852,39,1600,ATIVO,PACOTE,4864,3.04
"Contator tripolar 100A",4021853,47,20,ATIVO,PACOTE,12862.2,643.11
"Luminária para iluminação pública LED, potência máxima de 70w, fluxo mínimo de 10.500 lumens, com eficiência maior ou igual a 150lm/W, temperatura de cor 5.000K",4021854,88,50,ATIVO,PACOTE,23644.5,472.89
"Plug 2P+T 10A fêmea",4021855,101,100,ATIVO,UNIDADE,304,3.04
"Plug 2P+T 10A macho",4021856,102,100,ATIVO,UNIDADE,328,3.28
"Plug 2P+T 20A fêmea",4021857,103,50,ATIVO,UNIDADE,152,3.04
"Plug 2P+T 20A macho",4021858,104,50,ATIVO,UNIDADE,196,3.92
"Projetor / refletor corpo de alumínio  E40 para lâmpada 1000w, laterais de aluminio fundido, projetos de chapa de alumínio dobrado com lente plana de cristal temperado fixada ao corpo por meio de junta vedatora.",4021859,116,42,ATIVO,UNIDADE,4827.48,114.94
"Projetor / refletor corpo de alumínio  E40 para lâmpada 150w, laterais de aluminio fundido, projetos de chapa de alumínio dobrado com lente plana de cristal temperado fixada ao corpo por meio de junta vedatora.",4021860,117,42,ATIVO,UNIDADE,1368.78,32.59
"Projetor / refletor corpo de alumínio  E40 para lâmpada 400w, laterais de aluminio fundido, projetos de chapa de alumínio dobrado com lente plana de cristal temperado fixada ao corpo por meio de junta vedatora.",4021861,118,42,ATIVO,UNIDADE,2737.98,65.19
"Suporte para instalação e fixação de 01 luminárias em topo de poste, com diametro de 60,3m, para uso em sistemas de iluminação de vias públicas. Produzido com tubos de aço 1010/1020, a fixação ao topo é feita por parafusos de aperto que asseguram a permanência do conjunto na posição original de instalção. Acabamento superficial galvanizado por imersão.",4021862,139,10,ATIVO,PACOTE,719.5,71.95
"Suporte para instalação e fixação de 02 luminárias em topo de poste, com diametro de 60,3m, para uso em sistemas de iluminação de vias públicas. Produzido com tubos de aço 1010/1020, a fixação ao topo é feita por parafusos de aperto que asseguram a permanência do conjunto na posição original de instalção. Acabamento superficial galvanizado por imersão.",4021863,140,10,ATIVO,PACOTE,922.8,92.28
