descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Nutrison Energy Multi Fiber 1,5kcal TP 1000 mL",4924588,2,450,ATIVO,FRASCO,15223.5,33.83
"Formula Infantil para lactentes e de segmento para lactentes e crianças de primeira infância, hipercalórica, destinada a necessidades dietoterápicas especificas com 1 kcal/ml",4924589,3,360,ATIVO,LATA,50400,140
"Dieta nutricionalmente completa em pó para nutrição enteral ou oral, desenvolvida para crianças de 1 a 10 anos, sabor neutro ou baunilha",4924590,4,2000,ATIVO,LATA,89160,44.58
"Dieta Semi-elementar e hipoalergênica a base de 100% proteína extensamente hidrolisada de soro de leite.",4924591,5,1600,ATIVO,LATA,150400,94
"Fórmula elementar à base de 100% de aminoácidos livres",4924592,7,300,ATIVO,LATA,60000,200
"Fórmula infantil para lactentes até 06 meses base de leite d",4924593,10,950,ATIVO,LATA,33905.5,35.69
"Fórmula infantil à base de 100% de aminoácidos livres, para lactentes e de seguimento para lactentes (desde o nascimento) e/ ou crianças de primeira infância.",4924594,11,1800,ATIVO,LATA,315000,175
"Fórmula infantil para recém-nascidos pré-termo e/ou de alto risco em pó. Com adição de DHA e ARA, vitaminas e minerais.",4924595,12,84,ATIVO,LATA,3780,45
"Fórmula com proteína láctea extensamente hidrolisada para lactentes e de seguimento para lactentes e crianças de primeira infância",4924596,16,900,ATIVO,LATA,74700,83
"Suplemento alimentar infantil, hipercalórico, desenvolvido para crianças até 10 anos. SEM SABOR.",4924597,17,750,ATIVO,LATA,41250,55
